question_id,document_id,question_type,question,recall_at_3,answer_correctness,generated_answer,retrieved_chunk_1,retrieved_chunk_2,retrieved_chunk_3
21,0,multi_passage,How did Portuguese arrival and the post-independence civil war shape Mozambique's modern history?,0.5,0.5,"Portuguese arrival in Mozambique in 1505 began more than four centuries of colonial rule. Portugal established coastal trading posts and later expanded its control inland, restructuring local economies and political systems around Portuguese interests. Colonial administration and racial discrimination marginalized indigenous communities, while forced labor, land exploitation, and limited political participation generated resistance. Although Portugal introduced some socioeconomic reforms in the 1960s and early 1970s, these came largely in response to growing African nationalism and the armed struggle led by FRELIMO.

The 1974 Carnation Revolution in Portugal accelerated decolonization. Most of the roughly 250,000 Portuguese settlers left Mozambique—many voluntarily, others after pressure from the emerging government—creating a severe shortage of skilled workers and administrative personnel. Mozambique became independent under FRELIMO on 25 June 1975 and adopted a socialist, one-party system.

Tensions with the anti-communist RENAMO movement, supported by neighboring states and foreign powers during the Cold War, soon developed into a civil war from 1977 to 1992. The conflict devastated infrastructure, agriculture, and public services, displaced millions, and caused extensive deaths and suffering. The 1992 peace agreement and the first multiparty elections in 1994 transformed Mozambique into a presidential democracy. Since then, it has achieved relative political stability and economic reconstruction, though poverty, regional inequalities, and a renewed low-intensity insurgency—especially in the far north—continue to shape its modern history.","settlement in 1505. After over four centuries of Portuguese rule, Mozambique gained independence in 1975, becoming the People's Republic of Mozambique shortly thereafter. After only two years of independence, the country descended into an intense and protracted civil war lasting from 1977 to 1992. In 1994, Mozambique held its first multiparty elections and has since remained a relatively stable presidential republic, although it still faces a lowintensity insurgency mainly in the furthest","to Mozambique's tribal integration and the development of its native communities.[34] According to the official guerrilla statements, this affected a majority of the indigenous population who suffered both state-sponsored discrimination and enormous social pressure. As a response to the guerrilla movement, the Portuguese government, from the 1960s and principally the early 1970s, initiated gradual changes with new socioeconomic developments and egalitarian policies.[35] Mozambican War of","authoritarian Estado Novo regime in the Carnation Revolution of April 1974 and the failed coup of 25 November 1975. Within a year, most of the 250,000 Portuguese in Mozambique had left—some expelled by the government of the nearly independent territory, some left the country to avoid possible reprisals from the unstable government—and Mozambique became independent from Portugal on 25 June 1975.[37] A law had been passed on the initiative of the relatively unknown Armando Guebuza of the FRELIMO"
22,1,multi_passage,"How did Tanganyika and Zanzibar become Tanzania, and what does the article say about Tanzania's linguistic diversity?",0.5,1.0,"Tanganyika and Zanzibar united in 1964, forming the **United Republic of Tanganyika and Zanzibar**. On **29 October 1964**, the country was renamed the **United Republic of Tanzania**, combining “Tan” from Tanganyika and “Zan” from Zanzibar. Although the union was controversial among many Zanzibaris, it was accepted by the governments of both territories because of their shared political goals and values.

The article describes Tanzania as one of Africa’s—and East Africa’s—most linguistically diverse countries, with **more than 100 languages** spoken, including Sukuma, Nyamwezi, Chagga, and Makonde. **Swahili is the national language**, while Swahili and English are commonly listed as official languages; legally, however, Tanzania has **no de jure official language**.","United Republic of Tanganyika and Zanzibar.[65][66] On 29 October of the same year, the country was renamed the United Republic of Tanzania (""Tan"" comes from Tanganyika and ""Zan"" from Zanzibar).[17] The union of the two hitherto separate regions was controversial among many Zanzibaris (even those sympathetic to the revolution) but was accepted by both the Nyerere government and the Revolutionary Government of Zanzibar owing to shared political values and goals.[67] Following Tanganyika's","Muslim and Animist minorities.[25] Over 100 languages are spoken in Tanzania, making it the most linguistically diverse country in East Africa.[26] The country does not have a de jure official language,[2] although the 0:000:00 / 0:00/ 0:00 Largest city Dar es Salaam 06°48′S 39°16′E Official languages Swahili · English[a] National language Swahili[4] Other languages Over 100 languages, including (1m+): Shambala · Sukuma · Nyamwezi · Chagga ·Ha · Bena · Gogo · Ha ya · Dholuo · Iraqw · M akonde ·","independence and unification with Zanzibar leading to the state of Tanzania, President Nyerere emphasised a need to construct a national identity for the citizens of the new country. To achieve this, Nyerere provided what is regarded as one of the most successful cases of ethnic repression and identity transformation in Africa.[68] With more than 130 languages spoken within its territory, Tanzania is one of the most ethnically diverse countries in Africa. Despite this obstacle, ethnic divisions"
23,2,multi_passage,How did apartheid and the 1994 elections affect political representation in South Africa?,1.0,1.0,"Apartheid excluded the Black majority from meaningful political power and institutionalised racial segregation under National Party rule. The 1994 elections ended this system by introducing universal adult suffrage, allowing all racial groups to vote and stand for office. The African National Congress (ANC) won an overwhelming majority, making it the governing party and ensuring broad political representation for previously excluded South Africans.","Cape was gradually eroded, and the vast majority of Black South Africans were not enfranchised until 1994.[23] The National Party imposed apartheid in 1948, institutionalising previous racial segregation. After a struggle by the African National Congress and other anti-apartheid activists, both inside and outside the country, the repeal of discriminatory laws began in the mid-1980s. Universal elections took place in 1994, following which all racial groups have held political representation in","in a 1992 referendum, the government continued negotiations to end apartheid. South Africa held its first universal elections in 1994, which the ANC won by an overwhelming majority. The country rejoined the Commonwealth of Nations and became a member of the Southern African Development Community.[107] The post-apartheid period, whilst plagued by high unemployment and increasing income inequality,[108][109][110] has been characterised by relative political stability. The country has, however,","the first time since the end of Apartheid,[158] winning only 40% of the vote and 159 seats, while the main opposition, the Democratic Alliance (DA), won 22% of the vote and 87 seats. uMkhonto weSizwe, a new party founded by former President and ANC leader Jacob Zuma, won 14.6% of the vote and 58 seats, while the Economic Government and politics Houses of Parliament in Cape Town, seat of the legislature Constitutional Court in Johannesburg Freedom Fighters, founded by Julius Malema, former"
24,3,multi_passage,What does the article say about Eswatini's political system and the sectors providing most employment?,0.5,1.0,"Eswatini is an absolute monarchy ruled by King Mswati III. Although elections are held every five years for the legislature, political parties are not allowed to contest them. Most employment is provided by the agricultural and manufacturing sectors.","is provided by its agricultural and manufacturing sectors. Eswatini is a member of the Southern African Development Community, the African Union, the Commonwealth of Nations, and the United Nations. Eswatini's government is an absolute monarchy, the last of its kind in Africa.[22] The country has been ruled by King Mswati III since 1986.[23][24] Elections are held every five years to determine the House of Assembly and the Senate majority, but political parties are prohibited from running.[25]","private businesses run by 15,000 businessmen including descendants of British settlers and some South African investors who have come to Eswatini because they can hire employees at a third of the pay rates they would pay in South Africa.[117] King Mswati III receives 8% of the national budget for official expenses. The police force receives 5% of the budget, as do the armed forces.[117] Largest cities or towns in Eswatini Source:[120] Rank Name Region Pop. 1 Manzini Manzini 110,537 2 Mbabane","remittances from South Africa substantially supplement domestically earned income. Eswatini is not poor enough to merit an IMF programme; however, the country is struggling to reduce the size of the civil service and control costs at public enterprises. The government is trying to improve the atmosphere for foreign direct investment.[118] Eswatini's population in thousands (1950–2021) As of 2018, public services were very poorly developed. The country had only twelve public ambulances,"
25,4,multi_passage,How are Lesotho's high elevation and rainfall pattern described in the article?,0.0,0.5,"Lesotho’s high elevation makes its highlands much colder than the lowlands, with frequent winter snow and occasional year-round snow on the highest peaks. Rainfall is highly variable by season and location, ranging from about 500 mm to 1,200 mm annually depending on elevation. Most rain falls from October to April, especially December–February, while June is the driest month, with most areas receiving less than 15 mm.","October to April sees the most rainfall, and from December to February, the majority of the country receives over 100 millimetres (3.9 in) of rain a month. The least monthly rainfall in Lesotho occurs in June when most regions receive less than 15 mm a month.[58] Periodic droughts have an effect on Lesotho's majority rural population as some people living outside of urban areas rely on subsistence farming or small scale agriculture as their primary source of income.[59] Droughts in Lesotho are","summer. The temperature in the lowlands can get down to −7 °C (19 °F) and the highlands to −18 °C (0 °F) at times. Snow is more common in the highlands between May and September; the higher peaks may experience snowfalls year-round. Rainfall in Lesotho is variable regarding both when and where precipitation occurs. Annual precipitation can vary from 500 millimetres (20 in) annually in one area to 1,200 millimetres (47 in) in another because of elevation. The summer season that stretches from","normal but also recorded below-average amounts of rain.[61] Data from the Climate Hazards Group InfraRed Precipitation Station (CHIRP) shows rainfall in Lesotho between October 2018 and February 2019 ranged from 55% to 80% below normal rates.[61] In March 2019, the Lesotho Vulnerability Assessment and Analysis Committee conducted a report that initially predicted that 487,857 people in the country need humanitarian assistance because of the effects of drought.[61] There are a variety of"
26,5,multi_passage,How does the article connect Great Zimbabwe's early history with the later establishment of Rhodesia?,0.0,0.5,"The article presents Great Zimbabwe as the region’s medieval Shona/Karanga center, whose name may mean “houses of stone.” After its decline, the area was ruled by successor states such as the Mutapa and Rozvi empires. Centuries later, British expansion under Cecil Rhodes’s British South Africa Company conquered Mashonaland and Matabeleland, and the territory was named Rhodesia in Rhodes’s honor. Thus, it links the ancient civilization and its successor kingdoms to the same region that was later colonized and organized as Southern Rhodesia, rather than suggesting that Rhodesia arose directly from Great Zimbabwe.","Great Zimbabwe, a medieval city (Masvingo) in the country's south-east. Two different theories address the origin of the word. Many sources hold that ""Zimbabwe"" derives from dzimba-dza-mabwe, translated from the Karanga dialect of Shona as ""houses of stones"" (dzimba = plural of imba, ""house""; mabwe = plural of ibwe, ""stone"").[20][21][22] The Karanga-speaking Shona people live around Great Zimbabwe in the modern-day Masvingo province. Archaeologist Peter Garlake claims that ""Zimbabwe"" represents","name ""Rhodesia"" for the territory, in honour of Rhodes. In 1898, ""Southern Rhodesia"" became the official name for the region south of the Zambezi river,[37][38] which later adopted the name ""Zimbabwe"". The region to the north, administered separately, was later termed Northern Rhodesia (present-day Zambia). Shortly after the disastrous Rhodes-sponsored Jameson Raid on the South African Republic, the Ndebele rebelled against white rule, led by their charismatic religious leader, Mlimo. The Second","Zimbabwe was established, followed by the Mutapa and Rozvi empires. The British Empire began to consolidate control of the area following the 1890 British Ultimatum against the Portuguese, who had claimed the area between Angola and Mozambique in the 1885 Pink Map.[18] The British South Africa Company of Cecil Rhodes demarcated the Rhodesia region in 1890 when they conquered Mashonaland and later in 1893 Matabeleland after the First Matabele War. Company rule ended in 1923 with the establishment"
27,6,multi_passage,How did Malawi's political system and economy develop in the periods described in the article?,0.0,1.0,"Malawi’s political development moved from a highly centralized, authoritarian one-party regime under Hastings Banda to a multiparty democracy.

- **Banda era:** The Malawi Congress Party dominated political life, Banda held the presidency for life, and opposition parties were suppressed or operated in exile. Although the regime was repressive, it maintained political stability and avoided armed conflict.
- **Democratic transition:** Domestic and international pressure led to the 1993 referendum, in which voters supported multiparty politics. The life presidency was abolished, a new constitution was adopted, and the MCP’s monopoly ended. Banda lost the 1994 election.
- **Multiparty period:** Malawi subsequently became a presidential, multiparty republic. Elections were held regularly, including in 2009, when Bingu wa Mutharika was reelected. His later government was criticized as increasingly authoritarian, and poor governance and economic hardship contributed to the 2011 protests. Nevertheless, Malawi continued to experience peaceful transfers of power and remained an electoral democracy.

Economically, Malawi remained a predominantly agrarian and relatively poor country. Under Banda, the state exercised strong political control while the economy relied heavily on agriculture, particularly smallholder farming and tobacco exports, as well as foreign aid. After democratization, economic reforms and liberalization were introduced, but the country continued to face structural problems such as dependence on agriculture and donors, shortages of foreign exchange, rising living costs, weak governance, and limited economic diversification. These economic difficulties helped fuel public discontent, especially during the 2011 crisis.","highly repressive dictatorship.[14][15][16] After the introduction of a multi-party system in 1993, Banda lost the 1994 general election, and the country has continued to experience peaceful transitions of power. Malawi has a democratic, multi-party republic headed by an elected president. According to the 2024 V-Dem Democracy indices, Malawi is ranked 74th electoral democracy worldwide and 11th electoral democracy in Africa.[17] The country maintains diplomatic relations with most countries and","multiparty system still existed in Malawi.[34] Elections were held in 2009, and Mutharika was successfully reelected, despite allegations of electoral fraud from the opposition and observers.[35] Mutharika was seen by some as increasingly autocratic and dismissive of human rights,[36] and in July 2011 protests over high costs of living, devolving foreign relations, poor governance and a lack of foreign exchange reserves erupted.[37] The protests left 18 people dead and at least 44 others","regime, which ensured that Malawi did not suffer armed conflict.[32] Opposition parties, including the Malawi Freedom Movement of Orton Chirwa and the Socialist League of Malawi, were founded in exile. Under pressure for increased political freedom, Banda agreed to a referendum in 1993, where the populace voted for a multi-party system. In late 1993, a presidential council was formed, the life presidency was abolished, and a new constitution was put into place, effectively ending the MCP's"
28,7,multi_passage,How do Kenya's two main education examinations described in the article affect students' progression?,1.0,1.0,"Kenya’s two main examinations act as gateways to the next stage of education:

- **KCPE**, taken at the end of primary school, determines whether and where students proceed to **secondary school or vocational training**.
- **KCSE**, taken at the end of Form Four, determines students’ eligibility for **university, professional training, or employment**. University placement is handled by **KUCCPS**.

Thus, exam performance strongly influences students’ educational and career opportunities.","One (First Grade). At the end of primary education, pupils sit the Kenya Certificate of Primary Education (KCPE), which determines those who proceed to secondary school or vocational training. The result of this examination is needed for placement at secondary school.[261] Primary school is for students aged 6/7-13/14 years. For those who proceed to the secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines","those proceeding to the universities, other professional training, or employment. Students sit examinations in eight subjects of their choosing. However, English, Kiswahili, and mathematics are compulsory subjects. The Kenya Universities and Colleges Central Placement Service (KUCCPS), formerly the Joint Admissions Board (JAB), is responsible for selecting students joining the public universities. Other than the public schools, there are many private schools, mainly in urban areas. Similarly,","enrollment increased from 3 million in 2002 to 4.1 million in 2006 while the completion rate increased from 31,000 to 90,000, which testified a very poor completion rate.[143] After grade 7, pupils must take standardised national exams to enter secondary school, which runs from eighth to 10th grade.[144] Space in Mozambican universities is extremely limited; thus, most pupils who complete pre-university school do not immediately proceed on to university studies. Many go to work as teachers or"
29,8,multi_passage,How are Botswana's physical geography and mining economy characterised in the article?,0.0,0.5,"Botswana is characterised by a largely flat, dry landscape dominated by the Kalahari Desert, with sandy soils, rocky hills, grasslands, and the Okavango Basin. Most people live in the southeast, where the main urban centres are located.

Its mining economy is dominated by diamonds. Debswana, the country’s largest diamond producer, is a 50–50 joint venture between the government and De Beers, and mineral revenues—especially from diamonds—provide roughly 40% of government income. The government regulates and records mining through the Department of Mines, while uranium mining had not yet begun.","sub-Saharan African countries in the 2014 International Property Rights Index.[196] In Botswana, the Department of Mines and Mineral Resources, Green Technology and Energy Security maintains data regarding mining throughout the country.[198][199] Debswana, the largest diamond mining company operating in Botswana, is a joint venture, 50% owned by the government.[200] The mineral industry provides about 40% of all government revenues.[201] Botswana has not begun mining uranium; however, the","(https://web.archive.org/web/20151208141240/http://internationalpropertyrightsind ex.org/countries?r=A&f=ipri&o=desc) from the original on 8 December 2015. Retrieved 23 August 2015. 197. ""RANKED: World's richest diamond mines"" (https://www.mining.com/featured-article/rankedworlds-richest-diamond-mines/). Mining.com. Retrieved 11 June 2024. 198. ""Department of Mines"" (http://www.mines.gov.bw/). 20 July 2007. Retrieved 20 February 2018. 199. ""The Government of Botswana – Home""","the Okavango Basin Botswana's geography features a predominantly flat and dry landscape, with much of the country covered by the Kalahari Desert.[129] The country's terrain consists of sandy soils, rocky hill ranges, grasslands, and more.[129] Much of Botswana's population is concentrated in the southeastern part of the country, where major urban centres are located.[130] Botswana is a landlocked country in southern Africa, bordered by Namibia to the west and north, Zambia to the north, Zimbabwe"
30,9,multi_passage,How are Angola's independence and its main economic resources described in the article?,0.5,0.5,"Angola gained independence in 1975. Its main economic resources are oil and diamonds, which have dominated the economy since independence, along with forests, fertile agricultural land, and other fossil fuels.","dramatically depleted during the civil war), forests, and fossil fuels. Since independence, oil and diamonds have been the most important economic resources. Smallholder and plantation agriculture dramatically dropped during the Angolan Civil War, but began to recover after 2002. Angola's economy has in recent years moved on from the disarray caused by a quarter-century of Angolan civil war to become the fastest-growing economy in Africa and one of the fastest-growing in the world, with an","that ""less than 3 per cent of Angola's abundant fertile land is cultivated and the economic potential of the forestry sector remains largely unexploited"".[154] Before independence in 1975, Angola was a bread-basket of southern Africa and a major exporter of bananas, coffee and sisal, but three decades of civil war destroyed fertile countryside, left it littered with landmines and drove millions into the cities. The country now depends on expensive food imports, mainly from South Africa and","stability in 2002, mainly due to fast-rising earnings in the oil sector, Angola faces huge social and economic problems. These are in part a result of almost continual armed conflict from 1961 on, although the highest level of destruction and socio-economic damage took place after the 1975 independence, during the long years of civil war. However, high poverty rates and blatant social inequality chiefly stems from persistent Luanda Financial City Tourism in Angola has grown with the country's"
31,0,no_answer,What is Mozambique's national animal?,,0.0,Mozambique’s national animal is the **African elephant**.,"zebra, Vincent's bush squirrel and 13 other endangered or vulnerable species. Protected areas include thirteen forest reserves, seven national parks, six nature reserves, three frontier conservation areas and three wildlife or game reserves. The Constitution of Mozambique stipulates that the President of the Republic functions as the head of state, head of government, commanderin-chief of the armed forces, and as a symbol of national unity.[82] They are directly elected for a five-year term via","Republic of Mozambique República de Moçambique (Portuguese) Flag Emblem Anthem: Pátria Amada (Portuguese) ""Beloved Homeland"" Mozambique Mozambique,[d] officially the Republic of Mozambique,[e] is a country in Southeast Africa bordered by the Indian Ocean to the east, Tanzania to the north, Malawi and Zambia to the northwest, Zimbabwe to the west, and Eswatini and South Africa to the south and southwest. The sovereign state is separated from the Comoros, Mayotte, and Madagascar through the","0:000:00 / 0:00/ 0:00 Capital and largest city Maputo 25°57′S 32°35′E Official languages Portuguese Recognised regional languages Tsonga, Makhuwa, Sena, Lomwe, Swahili Ethnic groups (2017)[1] 99.0% African[a] 0.8% Mestiço 0.1% White 0.1% other[b] Religion (2017)[2] 19.1% Islam 13.5% no religion 4.3% other religions[c] 1.2% unknown Demonym Mozambican Government Unitary dominant-party semi-presidential republic[3][4][5] under an authoritarian government[6][7] • President Daniel Chapo • Prime"
32,1,no_answer,What is Tanzania's national flower?,,0.0,Tanzania’s national flower is the **African violet** (*Saintpaulia ionantha*).,"United Republic of Tanzania Jamhuri ya Muungano wa Tanzania (Swahili) Flag Coat of arms Motto: ""Uhuru na Umoja"" ""Freedom and Unity"" Anthem: ""Mungu ibariki Afrika"" ""God bless Africa""[1] Capital Dodoma 6°10′S 35°44′E Tanzania Tanzania,[c] officially the United Republic of Tanzania,[d] is a country in East Africa within the African Great Lakes region. It is bordered by Uganda to the northwest, Kenya to the northeast, the Indian Ocean to the east, Mozambique and Malawi to the south, Zambia to the","Park, Lake Manyara National Park, and Mount Kilimanjaro.[87]: page 1252 In 2013, the most visited national park was Serengeti (452,485 tourists), followed by Manyara (187,773) and Tarangire (165,949).[62]: page xx Tourism One of the main trunk roads Zanzibar harbour The Bank of Tanzania is the central bank of Tanzania and is primarily responsible for maintaining price stability, with a subsidiary responsibility for issuing the banknotes and coins of the Tanzanian shilling.[207] At the end of","reptile species, many of them strictly Climate Wildlife and conservation The Masai giraffe is Tanzania's national animal. endemic and included in the International Union for Conservation of Nature's Red Lists of countries.[101] Tanzania has the largest lion population in the world.[102] Tanzania had a 2019 Forest Landscape Integrity Index mean score of 7.13/10, ranking it 54th globally out of 172 countries.[103] Tanzania is a one-party dominant state with the Chama Cha Mapinduzi (CCM) party in"
33,2,no_answer,What is South Africa's national flower?,,0.0,South Africa’s national flower is the **King Protea (*Protea cynaroides*)**.,"Vegetation in South Africa"" (http://www.southafrica-travel.net/pages/e_plants.ht m). Southafrica-travel.net. Archived (https://web.archive.org/web/20111028175454/http://ww w.southafrica-travel.net/pages/e_plants.htm) from the original on 28 October 2011. Retrieved 30 October 2011. 153. Lewton, Robin Cherry & Thomas (5 March 2019). ""South Africa's flammable floral kingdom"" (https://www.bbc.com/travel/article/20190304-south-africas-flammable-floral-kingdom). www.bbc.com. Archived","regions on Earth in terms of plant diversity. Most of the plants are evergreen hard-leaf plants with fine, needle-like leaves, such as the sclerophyllous plants. Another uniquely South African flowering plant group is the genus Protea, with around 130 different species. While South Africa has a great wealth of flowering plants, only 1% of the land is forest, almost exclusively in the humid coastal plain of KwaZulu-Natal, where there are also areas of Southern Africa mangroves in river mouths.","in 2014.[156] Since South Africa is home to a third of all succulent species (many endemic to the Karoo), it makes it a hotspot for plant poaching, leading to many species to be threatened with extinction.[151] South Africa is a parliamentary republic, but unlike most such republics, the president is both head of state and head of government and depends for their tenure on the confidence of Parliament. The executive, legislature, and judiciary are all subject to the supremacy of the Constitution"
34,3,no_answer,What is Eswatini's national animal?,,0.0,Eswatini’s national animal is the **lion**.,"mammal species native to Eswatini, including the critically endangered South-central black rhinoceros and seven other endangered or vulnerable species.[77] Eswatini is rich in Biodiversity and conservation Mswati III has been king of Eswatini since 1986. bird life, including white-backed vultures, white-headed, lappet-faced and Cape vultures, raptors such as martial eagles, bateleurs, and long-crested eagles, and the southernmost nesting site of the marabou stork.[78] Eswatini is an absolute","Kingdom of Eswatini Umbuso weSwatini (Swazi) Flag Coat of arms Motto: ""Siyinqaba"" (Swazi) ""We are the fortress"" Anthem: ""Nkulunkulu Mnikati wetibusiso temaSwati"" ""Oh God, Giver of Blessings to the Swazi"" Eswatini Eswatini,[b] formally the Kingdom of Eswatini (historically called KaNgwane[12]), also known by its former official names Swaziland[c] and the Kingdom of Swaziland,[13][14] is a landlocked country in Southern Africa. It is bordered by South Africa on all sides except the east, where it","agricultural products and are therefore vulnerable to a changing climate.[73] Eswatini has a spectrum of formal and informal conservation areas that protect the nation's rich biological diversity. These areas comprise about 5% of the country's land area. Eswatini has over 820 species of vertebrates and over 2,400 species of plants, with many endemic species. This diversity suggests Eswatini is globally important for biodiversity conservation.[74] Land degradation and conversion to other land"
35,4,no_answer,What is Lesotho's national animal?,,0.0,Lesotho’s national animal is the **black rhinoceros**.,"lizards, and 60 mammal species endemic to Lesotho, including the endangered white-tailed rat. Lesotho's flora is alpine, due to mountainous terrain. The Katse Botanical Gardens houses a collection of medicinal plants and has a seed bank of plants from the Malibamatšo River area.[62][63] Three terrestrial ecoregions lie within Lesotho's boundaries: Drakensberg altimontane grasslands and woodlands, Drakensberg montane grasslands, and Highveld grasslands.[64] The economy of Lesotho is based on","Kingdom of Lesotho Naha ea Lesotho (Sotho) Flag Coat of arms Motto: ""Khotso, Pula, Nala"" ""Peace, Rain, Prosperity"" Anthem: Lesotho fatše la bo-ntat'a rona (English: ""Lesotho, Land of Our Fathers"") Capital and largest city Maseru 29°18′54″S 27°29′13″E Official languages Sesotho · English Ethnic groups (2020) 99.7% Basotho 0.3% others Religion (2020)[1] 92.1% Christianity 6.6% traditional faiths 1.0% no religion 0.3% others Demonyms Mosotho (singular) Basotho (plural) Lesotho Lesotho (/lɪˈsuːtuː/","ⓘ lih-SOO-too;[6][7] Sotho pronunciation: [lɪˈsʊːtʰʊ]),[a] officially the Kingdom of Lesotho[b], is a landlocked country in Southern Africa. Surrounded by South Africa, it is the largest of the three sovereign enclaves. Lesotho is located in the Maloti Mountains, with the highest peak in southern Africa.[9] It has an area of over 30,000 km2 (11,600 mi2), with a population of about 2.3 million. Its capital and largest city is Maseru. Lesotho was formed in 1824 by King Moshoeshoe I. Continuous"
36,5,no_answer,What is Zimbabwe's national flower?,,0.0,Zimbabwe’s national flower is the **flame lily** (*Gloriosa superba*).,"others. Among the numerous flowers and shrubs are hibiscus, flame lily, snake lily, spider lily, leonotis, cassia, tree wisteria and dombeya. There are around 350 species of mammals that can be found in Zimbabwe. There are also many snakes and lizards, over 500 bird species, and 131 fish species. Large parts of Zimbabwe were once covered by forests with abundant wildlife. Deforestation and poaching has reduced the amount of wildlife. Woodland degradation and deforestation caused by population",WeZimbabwe; Northern Ndebele: Kalibusiswe Ilizwe leZimbabwe). It was introduced in March 1994 after a nationwide competition to replace Ishe Komborera Africa. The winning entry was a song written by Professor Solomon Mutswairo and composed by Fred Changundega. It has been translated into all three of the main languages of Zimbabwe.[333] National symbols Countries portal Africa portal Geography portal Outline of Zimbabwe a. The Parliament of Zimbabwe sits at Mount Hampden[3] b. Mainly majority,"at the Zimbabwe Grounds. At these celebrations, doves are released to symbolise peace, fighter jets fly over, and the national anthem is sung. The flame of independence is lit by the president after parades by the presidential family and members of the armed forces of Zimbabwe. The president also gives a speech to the people of Zimbabwe which is televised for those unable to attend the stadium.[302] Zimbabwe also has a national beauty pageant, the Miss Heritage Zimbabwe contest, which has been"
37,6,no_answer,What is Malawi's national flower?,,0.0,"Malawi’s national flower is the **flame lily** (*Gloriosa superba*), also called the **glory lily**.","Republic of Malawi Dziko la Malaŵi (Chichewa) Charu cha Malaŵi (Chitumbuka) Flag Coat of arms Motto: ""Unity and Freedom"" Anthem: Mulungu dalitsani Malaŵi ""O God Bless Our Land of Malawi"" Malawi Malawi,[a][9] officially the Republic of Malawi,[b] is a landlocked country in Southeast Africa. It is bordered by Zambia to the west, Tanzania to the north and northeast, and Mozambique to the east, south, and southwest. Malawi spans over 118,484 km2 (45,747 sq mi) and has a population of 22,224,282 (as","made from ground corn and typically served with side dishes of meat and vegetables. It is commonly eaten for lunch and dinner.[150] Outline of Malawi Telephone numbers in Malawi Women in Africa a. /məˈlɑːwi/; lit. 'flames' in Chichewa and Chitumbuka b. Chichewa: Dziko la Malaŵi Tumbuka: Charu cha Malaŵi 1. ""Malawi National Anthem Lyrics"" (https://web.archive.org/web/20110510015032/http://www.l yricsondemand.com/miscellaneouslyrics/nationalanthemslyrics/malawinationalanthemlyrics. html). National","have diminished to the point where there is no significant interethnic friction, although regional divisions still occur. The concept of a Malawian nationality has begun to form around predominantly rural people who are generally conservative and traditionally nonviolent. The ""Warm Heart of Africa"" nickname was given to the country due to the perceived loving nature of the Malawian people.[22] The flag of Malawi is made up of three equal horizontal stripes of black, red, and green with a red"
38,7,no_answer,What is Kenya's national flower?,,0.0,Kenya’s national flower is the **orchid**.,"Large-scale private commercial farms cover 45,000 hectares, accounting for 40% of irrigated land. They use high technology and produce high-value crops for the export market, especially flowers and vegetables.[187] Kenya is the world's 3rd largest exporter of cut flowers.[188] Roughly half of Kenya's 127 flower farms are concentrated around Lake Naivasha, 90 kilometres northwest of Nairobi.[188] To speed their export, Nairobi airport has a terminal dedicated to the transport of flowers and","the sector's traditional cash crops, while fresh flowers are a fastgrowing export. The service industry, particularly tourism, is also one of the country's major economic drivers. Kenya is a member of the East African Community trade bloc,[21][22] though some international trade organisations categorise it as part of the Greater Horn of Africa.[23] Africa is Kenya's largest export market, followed by the European Union.[24] The Republic of Kenya is named after Mount Kenya. The earliest recorded","Republic of Kenya Jamhuri ya Kenya (Swahili) Flag Coat of arms Motto: Harambee (English: ""Let us all pull together"") Anthem: Ee Mungu Nguvu Yetu (English: ""O God of All Creation"") Kenya Kenya,[a] officially the Republic of Kenya,[b] is a country located in East Africa. With an estimated population of more than 54.2 million as of mid- 2026,[12] it is the 26th-most populous country in the world[7] and the seventh-most populous in Africa. Kenya's capital and largest city is Nairobi. The"
39,8,no_answer,What is Botswana's national flower?,,0.0,"Botswana’s national flower is the **devil’s claw (*Harpagophytum procumbens*)**, known locally as **mokgalo**.","Republic of Botswana Lefatshe la Botswana Flag Coat of arms Motto: Pula ""Rain"" Anthem: ""Fatshe leno la rona"" ""This Land of Ours"" Botswana Botswana,[c] officially the Republic of Botswana,[d] is a landlocked country in Southern Africa. Botswana is topographically flat, with approximately 70% of its territory being a part of the Kalahari Desert. It is bordered by South Africa to the south and southeast, Namibia to the west and north, Zambia to the north, and Zimbabwe to the northeast. Its total","economic gains, Botswana continues to grapple with high unemployment, severe income inequality, and one of the world's most critical HIV/AIDS epidemics. Botswana is a member of the Southern African Customs Union, the Southern African Development Community, the Commonwealth of Nations and the United Nations. The country's name means ""Land of the Tswana"", referring to the dominant ethnic group in Botswana.[12][13] The Constitution of Botswana recognises a homogeneous Tswana state.[14] The demonym","mokola palm and dye plants in northwestern Botswana"". Economic Botany. 41 (3): 386–402. Bibcode:1987EcBot..41..386C (https://ui.adsabs.harvard.edu/abs/1987EcBot..41..386C). doi:10.1007/BF02859055 (https://doi.org/10.1007%2FBF02859055). JSTOR 4254989 (http s://www.jstor.org/stable/4254989). Denbow, James & Thebe, Phenyo C. (2006). Culture and Customs of Botswana. Westport, CT: Greenwood Press. ISBN 978-0-313-33178-7. Edge, Wayne A. and Mogopodi H. Lekorwe eds. Botswana: Politics and Society"
